latitude,longitude,elevation,distance_m,gradient_percent
45.649955,13.807201,110.4,235.72468194399258,1054.8367865063483
45.649949,13.807208,110.4,236.58559354855308,1022.8886001728824
45.649934,13.807232,110.5,239.08801464763883,4645.314427804806
45.64991,13.807287,110.8,244.12772094895791,5162.840497356956
45.649897,13.807306,110.9,246.19428858958133,5092.918080622621
45.649865,13.807314,111.1,249.80645392209976,5278.419747089083
45.649812,13.807339,111.4,256.01189994883,4589.824064284585
45.649791,13.807389,111.6,260.54593971313324,5417.495344339841
45.649783,13.807408,111.7,262.2700215437239,4837.37407984263
45.649777,13.807451,111.8,265.67834586009866,6675.42766011029
45.649777,13.807467,111.9,266.9220252873008,7254.5031770865535
45.64976,13.807521,112.1,271.52545985917936,4508.643799154379
45.649747,13.807542,112.2,273.70584278206513,5110.222346484807
45.649725,13.807595,112.5,278.49710376194497,5412.873569883959
45.649715,13.807616,112.6,280.4721823344956,4270.583030169473
45.649684,13.807622,112.7,283.9506323141089,4542.370224444312
45.64965,13.807653,113.0,288.4338765113685,4525.697112576745
45.649637,13.807695,113.1,292.00425668496064,6084.163855155202
45.649634,13.807712,113.2,293.3671251332561,7130.9905986779995
45.649618,13.807743,113.4,296.36238914395057,6016.220402445288
45.649603,13.807788,113.6,300.2375647820719,3946.8937472956895
45.649606,13.807833,113.7,303.75129464060024,4865.076794810011
45.649606,13.807855,113.8,305.46135907369563,5614.8779829021805
45.649597,13.807904,114.0,309.3994189648993,8710.61369649251
45.649595,13.807917,114.1,310.43409425002096,8776.87539621802
45.649593,13.807961,114.3,313.8614465402037,1454.7810531657888
45.649596,13.807975,114.3,314.99965047624124,1161.3929128103337
45.649583,13.808003,114.4,317.61240517268556,4529.493599064699
45.649565,13.808042,114.6,321.2450220672071,5857.088803678926
45.649553,13.80808,114.8,324.4861793840607,1802.962003119319
45.649546,13.808094,114.8,325.82411905787075,1896.2637779499346
45.649527,13.808124,115.0,328.970754693992,4725.743191390575
45.649507,13.808156,115.1,332.3073302130052,6857.516529559507
45.649501,13.808169,115.2,333.518203564984,6854.601132068092
45.649489,13.808198,115.3,336.1377053802854,4094.9487446321655
45.649457,13.808231,115.5,340.52413983953056,5880.797577837802
45.649444,13.808239,115.6,342.0977528210095,5863.5264466603985
45.649412,13.808274,115.8,346.57687471218395,5434.968525142904
45.6494,13.808288,115.9,348.2987046256952,5877.533631194092
45.649378,13.808317,116.1,351.6252155570041,6253.6965020684875
45.649376,13.808337,116.2,353.19565202475553,5407.729971568915
45.649358,13.808359,116.3,355.8282139546703,4398.785906857847
45.64933,13.808387,116.5,359.6269743223071,4809.924327336739
45.649297,13.808425,116.7,364.3375424198018,6777.263783843955
45.649285,13.808425,116.8,365.671881539328,7239.209280878094
45.649271,13.808458,117.0,368.6724153217363,6001.841924715154
45.649243,13.808488,117.2,372.5623348518242,1090.012733527692
45.649236,13.808497,117.2,373.6088807896931,1240.8191759485817
45.649215,13.808547,117.5,378.14295481403684,5978.273238535621
45.649204,13.808563,117.6,379.88733194574843,2151.452715585765
45.649195,13.808567,117.6,380.935273928471,1300.807031275508
45.649184,13.808593,117.7,383.29758715862215,5028.899074181754
45.649156,13.808636,118.0,387.8654557140838,6015.776361619646
45.649144,13.80865,118.1,389.5872887711656,4851.03467854824
45.649124,13.808682,118.2,392.9238769695925,7131.7484385712305
45.649124,13.808697,118.3,394.0898400257749,7108.673107533832
45.649103,13.808721,118.4,397.07863670383836,4064.6802046672747
45.649071,13.808744,118.6,401.06076227677045,5856.459211412221
45.649048,13.808766,118.8,404.13730226923093,5561.055769822815
45.649013,13.808805,119.0,409.07048873487,4210.795143400173
45.648998,13.808826,119.1,411.40427156775456,4029.6823550415866
45.648984,13.808854,119.2,414.08016856714875,5329.62086688276
45.648976,13.808871,119.3,415.67311816519094,6098.464637294455
45.648957,13.808907,119.5,419.1794134876078,904.0809516533045
45.648955,13.808915,119.5,419.8398324549456,645.3974397039019
45.648934,13.80896,119.7,424.0455391161366,6241.514870968967
45.648925,13.808974,119.8,425.52397300459467,6256.7493806116545
45.648899,13.809012,120.0,429.6571456530344,1481.642486761848
45.648887,13.809028,120.0,431.4812202751205,4273.708127695136
45.648879,13.809041,120.1,432.8274883186607,6257.359963322233
45.64887,13.809069,120.2,435.2230151101272,4938.821193041622
45.648864,13.809111,120.4,438.55520007465327,1296.1817237752257
45.648861,13.809122,120.4,439.4730117690121,998.7492343007943
45.64885,13.809169,120.6,443.32569687694274,1196.0120067451498
45.648845,13.809182,120.6,444.47905318890935,3722.769092134695
45.648838,13.809195,120.7,445.75458228810913,6527.451867718992
45.648841,13.809228,120.8,448.34131376070377,4929.293697153844
45.648827,13.809264,121.0,451.54350558916565,4738.390720901953
45.648817,13.8093,121.1,454.5546618347608,973.0585577068268
45.648813,13.809315,121.1,455.8025856446761,1821.5489974147204
45.648806,13.809354,121.3,458.93243718249016,5668.172958070136
45.648783,13.809398,121.5,463.2030742896875,5622.700625268772
45.648776,13.809417,121.6,464.8725268797556,4981.484058382739
45.648764,13.809458,121.7,468.3275724013502,618.7079609037028
45.648763,13.80947,121.7,469.2669531623242,1453.4576171510707
45.648753,13.809508,121.9,472.42310914291915,6063.857605673547
45.648742,13.809523,122.0,474.11295228408426,2924.500090728543
45.648747,13.809543,122.0,475.76400522937354,1996.0779504366656
45.648762,13.809506,122.2,479.088715447003,1149.3071149438038
45.648761,13.809496,122.2,479.8739421364962,4765.760217243951
45.648754,13.809489,122.3,480.82363549300834,8724.422926667103
45.648737,13.809474,122.4,483.0446204784905,3965.586321047158
45.648712,13.809492,122.5,486.15675147229615,7668.077353385161
45.648706,13.809503,122.6,487.24128765417026,6049.872040274568
45.64871,13.809529,122.6,489.31066951617345,2913.8132346459315
45.648698,13.809545,122.7,491.13474699956856,6865.843436505384
45.648692,13.809559,122.8,492.41121973841365,6553.547917212563
45.648681,13.809586,122.9,494.8403827283276,4850.276489611133
45.648672,13.809606,123.0,496.6892697323634,5158.781380089204
45.648669,13.809632,123.1,498.73763409874,4160.348796394101
45.648666,13.809675,123.2,502.0966937907642,8295.910670392914
45.648666,13.809688,123.3,503.10720336862624,8312.42061878902
45.648651,13.809727,123.4,506.56728126652564,7703.590931078361
45.648643,13.809735,123.5,507.6526458050944,8305.694651741942
45.648636,13.80975,123.6,509.0545533055963,6024.119029703434
45.648621,13.809773,123.7,511.49960777382034,1020.1443029931397
45.648628,13.809776,123.7,512.3121537960701,8905.951557496155
45.648627,13.809784,123.8,512.9438695652807,7852.675824875769
45.648627,13.809792,123.8,513.5657220461607,0.0
45.648627,13.8098,123.8,514.1875745270406,9511.532453385007
45.648626,13.809807,123.9,514.7429409767032,9511.532534494472
45.648626,13.809815,123.9,515.3647934688232,0.0
45.648625,13.809823,123.9,515.996509259616,8103.7558269978035
45.648625,13.809831,124.0,516.6183617628379,8040.491874744475
45.648625,13.809839,124.0,517.2402142659218,-1.4551915228366852e-09
45.648624,13.809847,124.0,517.8719300677823,8103.755680980976
45.648624,13.809855,124.1,518.4937825821062,8040.491731194197
45.648624,13.809863,124.1,519.115635096292,0.0
45.648623,13.80987,124.1,519.6710015745069,7586.387043280411
