Power (W),SOH (%)
0.0,29933.2
0.0,29908.354
0.0,29883.52
0.0,29858.715
0.0,29833.918
0.0,29809.145
0.0,29784.385
0.0,29759.645
0.0,29734.916
0.0,29710.217
0.0,29685.53
0.0,29660.855
0.0,29636.201
0.0,29611.566
0.0,29586.945
0.0,29562.344
0.0,29537.758
0.0,29513.188
0.0,29488.643
0.0,29464.104
0.0,29439.59
0.0,29415.096
0.0,29390.61
0.0,29366.143
0.0,29341.695
0.0,29317.27
0.0,29292.848
0.0,29268.453
0.0,29244.074
0.0,29219.715
0.0,29195.367
0.0,29171.037
0.0,29146.727
0.0,29122.432
0.0,29098.154
0.0,29073.896
0.0,29049.646
0.0,29025.42
0.0,29001.21
0.0,28977.018
0.0,28952.848
0.0,28928.686
0.0,28904.55
0.0,28880.426
0.0,28856.312
0.0,28832.676
0.0,28809.307
0.0,28785.945
0.0,28762.61
0.0,28739.285
0.0,28715.984
0.0,28692.693
0.0,28669.414
0.0,28646.16
0.0,28622.916
0.0,28599.695
0.0,28576.488
0.0,28553.297
0.0,28530.115
0.0,28506.955
0.0,28483.812
0.0,28460.676
0.0,28437.564
0.0,28414.465
0.0,28391.389
0.0,28368.326
0.0,28345.27
0.0,28322.238
0.0,28299.223
0.0,28276.22
0.0,28253.236
0.0,28230.266
0.0,28207.314
0.0,28184.375
0.0,28161.45
0.0,28138.549
0.0,28115.658
0.0,28092.785
0.0,28069.922
0.0,28047.078
0.0,28024.26
0.0,28001.443
0.0,27978.645
0.0,27955.87
0.0,27933.102
0.0,27910.357
0.0,27887.621
0.0,27864.91
0.0,27842.21
0.0,27819.527
0.0,27796.86
0.0,27774.203
0.0,27751.562
0.0,27728.943
0.0,27706.336
0.0,27683.742
0.0,27661.17
0.0,27638.61
0.0,27616.064
0.0,27593.537
0.0,27571.025
0.0,27548.53
0.0,27526.168
0.0,27503.91
0.0,27481.66
0.0,27459.436
0.0,27437.215
0.0,27415.014
0.0,27392.832
0.0,27370.664
0.0,27348.514
0.0,27326.379
0.0,27304.246
0.0,27282.14
0.0,27260.05
0.0,27237.979
0.0,27215.908
0.0,27193.854
0.0,27171.828
0.0,27149.812
0.0,27127.814
0.0,27105.832
0.0,27083.857
0.0,27061.902
0.0,27039.963
0.0,27018.041
0.0,26996.133
0.0,26974.232
0.0,26952.352
0.0,26930.486
0.0,26908.64
0.0,26886.81
0.0,26864.99
